звездный;астральный,звездный
гололед;гололедица,гололед,гололедь,гололедка
гололедичный;гололедичный,скользкий
грязь;слякоть,месиво,грязь,хлябь
жара;жарища,жара,жар,жарынь,пекло,зной
жаркий;жаркий,обжигающий,палящий,знойный,нагретый,раскаленный,разогретый,горячий,жгучий
жаркий1;жаркий,знойный
жечь;припекать,жечь,калить,жарить,палить
заморозки;утренники,заморозки
замерзать;стать,замерзнуть,вставать,встать,застывать,сковываться,становиться,застыть,сковаться,подмерзать,замерзать,подмерзнуть
замораживать;заковывать,схватывать,замораживать,сковать,заковать,заморозить,сковывать,схватить,заледенить
застилать;закрыть,затуманивать,затуманить,заволакивать,обкладывать,обволакивать,заволочь,подернуть,туманить,обволочь,застилать,затянуть,подергивать,окутать,обложить,закрывать,застлать,окутывать,затягивать
застилаться;закрыться,обволочься,затуманиться,туманиться,заволочься,затуманиваться,затягиваться,заволакиваться,закрываться,окутаться,застилаться,подернуться,затянуться,застлаться,подергиваться,обволакиваться,окутываться
засуха;засуха,сухмень,бездождье,сушь
засушливый;безводный,сухменный,сухой,засушливый
ледяной;льдистый,ледяной,ледовый
метель;метелица,вьюга,буран,метель,пурга
метельный;метельный,вьюжный
ненастье;мокропогодица,ненастье,непогода,мокрядь,непогодь,слякоть,непогодье,непогодица,мокреть
ненастный;непогожий,ненастливый,дождливый,ненастный
пасмурность;сумрачность,пасмурность,облачность
пасмурный;бессолнечный,серенький,хмурый,смурый,тусклый,сумрачный,серый,пасмурный,облачный
пасмурно;облачно,пасмурно,сумрачно,хмуро
погожий;погожий,солнечный,тихий
прохлада;свежесть,холодок,прохлада
прохладный;свежий,прохладный
прохладно;свежо,прохладно
проясняться;проясняться,разгуляться,распогодиться,прояснеть,разведриваться,разгуливаться,разветриваться,разъясниваться,разъясниться,просветлеть,яснеть,проясниться,разветриться,разведрить,разъяснеть,распогоживаться,разведривать,светлеть,разведриться
стлаться;стлаться,ползти,стелиться
суровый;резкий,суровый
сухой;погожий,сухой,ведренный,ясный,солнечный
сухой1;сухой,здоровый
тепло;жар,теплота,тепло,жара
тепло1;теплынь,тепло
теплый;мягкий,теплый,умеренный
холод;морозяка,стынь,хлад,холод,дубарь,морозильник,холодильник,мороз,дубак,холодрыга,холодина,стужа,колотун,трясучка,трясун
холодный;холодный,обжигающий,суровый,леденящий,студеный,морозный,остывший,остылый,ледяной,мерзлый,хладный,прохладный,жгучий,стылый
холодеть;холодать,стыть,холоднеть,замерзнуть,леденеть,стынуть,застыть,похолодеть,хладеть,заледенеть,замерзать,похолодать,остынуть,холодеть
холодить;холодить,охлаждать,охладить,леденить,остудить,студить
холодно;холодно,знобко
буйный;неистовый,бешеный,буйный,бурный
ветер;зефир,ураган,ветр,вихрь,ветер
ветровой;вихревой,ураганный,зефировый,ветровой
встречный;встречный,противный
дуновение;дыхание,веяние,дуновение
дуть;задувать,дуть,дышать,веять,тянуть
раздувать;разносить,разнести,раздуть,раздувать
овевать;овевать,опахивать,опахнуть,обвевать,обдувать,обдуть,овеять,обвеять
буря;штормяга,шторм,ураган,циклон,буря
буревой;ураганный,штормовой,циклонический,буревой,бурный,циклональный,циклонный
бушевать;лютовать,злиться,буйствовать,безумствовать,беситься,буянить,яриться,бушевать,бесчинствовать,неистовствовать,бесноваться,свирепствовать
затопление;заливание,затопление,затапливание
затоплять;наводнять,наводнить,потопить,заливать,затапливать,затопить,залить,затоплять,потоплять
затопляться;заливаться,затапливаться,залиться,потопляться,затопиться,затопляться
наводнение;потоп,наводнение
половодье;паводок,водополь,водополье,разлив,половодь,половодье
половодный;половодный,водопольный,паводочный,паводковый
разбушеваться;взбушевать,разгуляться,разбушеваться,взбеситься,разыгрываться,разгуливаться,взбушеваться,разыграться
свирепый;яростный,злой,свирепый,лютой,бешеный,неистовый,крепкий,ярый,буйный,бурный,безумный,лютый
свирепо;яро,бурно,неистово,яростно,бешено,свирепо,безумно,зло,крепко,буйно,люто
смерч;смерч,тифон,торнадо,ветроворот,тайфун,тромб
смерчевой;смерчевой,тайфунный
сносить;смыть,смывать,сносить,смести,снести,сметать
сноситься;сместись,сметаться,смыться,смываться,снестись,сноситься
дождь;изморось,дождь,ливень
заносить;замести,запорашивать,запорошить,занести,заметать,засыпать,затрусить,завеять,заносить,завевать
идти;выпадать,выпасть,сыпаться,сеять,падать,идти,сыпать,сеяться
иней;изморозь,иней
метель1;метелица,вьюга,буран,метель,пурга
метельный1;метельный,вьюжистый,метелистый,вьюжный
мести;вьюжить,мести,пуржить
моросить;крапать,накрапывать,моросить
обледенелый;обмерзлый,обледенелый,оледенелый,льдистый
посыпать;притрушивать,припорошить,пропорошить,посыпать,припорашивать,пропорашивать,присыпать,притрусить
снежный;снеговой,заснеженный,оснеженный,снежный
таять;оттаивать,оттаять,растаять,таять
усиливаться;разойтись,усиливаться,припустить,усилиться,разыгрываться,припускать,разыграться,расходиться
гореть;гореть,пылать,пламенеть,полыхать
дымить;чадить,дымить
дымиться;чадиться,дымиться,куриться
загораться;загораться,воспламеняться,запылать,заниматься,загореться,вспыхивать,вспыхнуть,воспламениться,заняться
огонь;огонь,полымя,пламя,пламень,огнь
заросли;чащоба,заросли,глушь,гущина,глухомань,дебри,чаща,пуща,гуща
растительность;флора,зелень,растительность
сухостой;сухостойник,сушняк,сухостой
трава;травушка,мурава,трава,муравушка,былье
алоэ;алоэ,столетник
белладонна;красавка,белладонна
бессмертник;сухоцвет,иммортель,бессмертник
гладиолус;гладиолус,шпажник
голубика;голубица,гонобобель,гоноболь,пьяника,пьяница,голубика
ель;ель,елка
инжир;фига,смоква,смоковница,инжир
ирис;касатик,ирис
календула;ноготок,календула
клевер;кашка,клевер
клубника;виктория,клубника
кувшинка;купавка,кувшинка,купава
кукуруза;маис,кукуруза
лютик;лютик,курослеп
маслина;оливка,олива,маслина
маслинный;маслинный,оливковый,маслиновый
орешник;орешник,лещина
падуб;падуб,остролистник,остролист
подснежник;подснежник,галантус
подсолнечник;подсолнечник,подсолнух
помидор;помидор,томат
помидорный;томатный,помидорный
примула;примула,первоцвет
репейник;репейник,лопух
роза;роза,розан
солодка;лакричник,солодка,лакрица
страстоцвет;пассифлора,страстоцвет
тимьян;тимьян,чабрец
травинка;травина,былинка,травинка
шафран;крокус,шафран
шелковица;тутовник,шелковица,тут и тута
зерно;семя,зерно
зерновой;семенной,зерновой
кисть;гроздь,кисть
кожура;кожица,кожа,кожура
кочан;кочан,кочень,вилок
крона;крона,куща,листва
ответвление;отросток,ответвление,побег,плеть
росток;побег,поросль,отросток,росток,отпрыск
цветок;цветик,цветок,цвет
шип;игла,шип,иголка,колючка
колючий;колкий,колючий,колющий
созревание;вызревание,поспевание,созревание
зреть;выспевать,покраснеть,спеть,созревать,зреть,созреть,краснеть,поспеть,поспевать
опадание;облетание,опадание,осыпание
опадать;опасть,осыпаться,облетать,облететь,опадать
прорастать;проклюнуться,показываться,прорасти,вылезти,пробиться,взойти,вылезать,всходить,вылезть,проклевываться,прорастать,пробиваться,показаться
расти;вырасти,произрастать,рождаться,расти
расцветать;раскрываться,распускаться,распуститься,разворачиваться,расцвести,раскрыться,развернуться,расцветать
сбрасывать;терять,скинуть,сбрасывать,обронить,сбросить,скидывать,потерять,ронять
зрелость;зрелость,спелость
зрелый;созревший,спелый,созрелый,зрелый,наливной,поспевший,налитой
колючий1;колкий,колючий,колющий
морозостойкость;холодоустойчивость,морозостойкость,холодостойкость,морозоустойчивость,зимостойкость
морозостойкий;холодоустойчивый,зимостойкий,холодостойкий,морозоустойчивый,морозостойкий
неспелость;неспелость,незрелость
неспелый;недозрелый,неспелый,зеленый,недоспелый,недозревший,незрелый,недоспевший
переспелый;перестоявший,перезрелый,перестойный,переспелый,перестоялый,перезревший
перезреть;переспеть,перезреть
развесистость;ветвистость,раскидистость,разветвленность,разлапость,разлапистость,развесистость
развесистый;разлапистый,разветвленный,развесистый,раскидистый,ветвистый,разлапый
развешиваться;развешиваться,разветвляться,разветвиться,раскидываться,раскинуться,ветвиться,развеситься
тепличный;оранжерейный,парниковый,тепличный
узловатость;корявость,узловатость
узловатый;сучковатый,корявый,узловатый
урожайность;плодоносность,урожайность,плодовитость
урожайный;урожайный,плодовитый,многоплодный,плодоносный
стадо;косяк,стадо,табун,гурт,стая
стадный;стайный,табунный,стадный,гуртовой
стадо1;отара,стадо,гурт
стадный1;отарный,стадный,гуртовой
стая;косяк,стадо,табун,станица,гурт,стая
стая1;рой,туча,стая,полчище
стайный;стайный,роевой
табун;косяк,табун,стадо
табунный;табунный,стадный
бегемот;гиппопотам,бегемот
белка;белка,векша
бык;бугай,вол,бык
бычачий;бычачий,бычий,воловий,бычиный
верблюд;верблюд,дромадер,бактриан,дромедар
волк;серый,волк
волчица;волчица,волчиха
животное;зверь,четвероногое,зверюшка,зверек,животное,скотина,зверюга,тварь,животина
зверье;живность,скот,зверье,скотина
животный;животный,звериный
заяц;серый,косой,заяц,заюшка
земноводное;земноводное,амфибия
кабан;кабан,вепрь
каракатица;сепия,каракатица
корова;корова,кормилица,буренка,телка,пеструха
коровка;телочка,коровка,буренушка,коровушка,телушка
теленок;теленок,телец,телок,теля
кот;коташка,полосатый,коток,мурзик,котофей,котяра,кот,котик,мурлыка
кошка;кошка,киска,киса,мурыска
крокодил;аллигатор,крокодил
кролик;трусик,кролик,трус
лемминг;пеструшка,лемминг
леопард;барс,пард,пардус,пантера,леопард
лисица;лисица,лиса,рыжая
лось;рогач,сохатый,лось,сохач
лосиха;лосиха,корова,сохатиха
лошадь;коняшка,бурка,росинант,кляча,лошаденка,буцефал,конь,скакун,шкапа,рысак,лошадь,сивко,одер,коняка,савраска
лошадиный;лошадиный,конский
лягушка;квакушка,лягушка
лягушачий;лягушачий,лягушечий,лягушиный
лягушечьи;лягушечьи,лягушачьи
медведь;зверь,хозяин,косолапый,медведь,топтыгин,миша,мишенька,мишка,потапыч
медведица;медведица,медведиха
нутрия;конпу,нутрия
ньюфаундленд;ньюф,ньюфаундленд,водолаз
обезьяна;обезьяна,облизьяна,чита,четверорукое
овца;ярка,овца
олень;рогач,олень
оленуха;ланка,корова,оленуха
олененок;олененок,теленок
осел;осел,ишак
ослиный;ослиный,ишачий
осьминог;спрут,осьминог
позвоночное;позвоночное,черепное
пресмыкающееся;рептилия,гад,пресмыкающееся,гадина
пума;кугуар,пума
свинья;свинья,чушка,хрюшка,хавронья
кабан1;кабан,хряк
поросенок;подсвинок,свиненок,порося,поросенок
поросята;поросята,поросяточки
скунс;скунс,вонючка
собака;полкан,собачара,жучка,шарик,собака,барбос,пес,псина,волкодав,моська,бобик,кабысдох,ава,цербер,шавка,сявка
собачка;собачонка,собачка,песик
собачий;песий,псовый,собачий,псиный
собачьи;собачьи,песьи
хорь;хорь,хорек
щенок;цуцик,щен,кутенок,щенок,собачонок
ягненок;ягненок,агнец
витютень;вяхирь,витютень
голубь;голубь,сизокрылый,гуля,гулька
голубка;голубка,горлица
коростель;дергач,коростель
кулик;кулик,вальдшнеп
курица;цыпа,кура,курица,хохлушка,хохлатка,цыпка
ласточка;касаточка,ласточка,касатка
малиновка;малиновка,зарянка
наседка;цыплятница,клуша,квочка,наседка
петух;кочет,каплун,петух,петя,шантеклер,петел
попугай;попка,попугай
птица;птаха,птица,пташка,пичуга,пичужка,птичка
страус;страус,строфион,строфокамил
цыпленок;цыплак,бройлер,цыпленок,куренок,цыпка
цыплячий;цыплячий,бройлерный
чибис;чибис,пигалица
шилохвость;шилохвость,шилохвостка
юрок;вьюрок,юрок
анчоус;анчоус,камса,хамса
малек;малек,малявка
форель;пеструшка,форель
бабочка;бабочка,мотылек
букашка;козявка,таракашка,букашка
олень1;рогач,олень
многоножка;сороконожка,многоножка
муравей;мураш,муравей,мурашка
насекомое;козявка,мошкара,мошка,насекомое,букашка
слизень;слизняк,слизень
таракан;тарасик,стасик,таракан,прусак
микроб;микроб,бактерия,микроорганизм,палочка,бацилла
микробный;бактериальный,микробный
врожденный;самородный,природный,урожденный,прирожденный,врожденный
особь;особь,индивидум,организм,экземпляр,индивидуум
половой;половой,детородный,генитальный
половой1;телесный,половой,чувственный,плотский,сексуальный,физиологический,физический
породистый;породистый,чистокровный,кровный,породный,чистопородный
природа;природа,натура,естество
существо;создание,творение,тварь,существо
физический;физиологический,плотский,физический,телесный
хищный;хищный,плотоядный
хищно;плотоядно,хищно
веки;вежды,веки
глаза;смотрелки,гляделки,пешки,буркалы,глазоньки,глазенки,зыркалки,глазищи,глаза,шары,моргалки,полтинники,иллюминаторы,очи,зыркалы,зеницы,зенки,глазенапы,бельмы,моргалы,зырки,мигалки,фары
глазница;орбита,глазница
голова;кочан,главизна,голова,думалка,череп,головка,головизна,тыковка,скворечник,котелок,балда,понималка,чайник,черепок,купол,котел,соображалка,жбан,тыква,крыша,глава,арбуз,чугунок,кумпол,бестолковка,репа,чердак,головушка,дыня,чан,черепушка,башка
череп;черепушка,черепок,череп
губы;уста,губы
клюв;клюв,нос
лицо;морда,ряха,хрюкало,портрет,афиша,физиомордия,хайло,рожа,моська,лик,витрина,вывеска,харя,обличность,будка,мурло,физиономия,личность,фотография,рыло,хохотальник,лицо,сусалы,физия
личико;ряшка,мордуленция,личико,рыльце,мордашка,рожица,харька,мордаха,мордочка
мордень;мордень,мордоплясия,мордасы,мордасово,мордофиля,мордализация
лоб;лоб,чело
нос;нос,носяра,нюхало,рубильник,хобот,нюх,сопелка,носик,нюхалка,паяльник,носопырка,шнопель,сопатка
переносица;переносье,переносица
рот;хрюкало,ельник,хрюкальник,рот,хайло,хохоталка,чавка,брехало,едальник,хавалка,варежка,хахальник,матюгальник,хавка,плевальник,уста,едалы,хлеборезка,хохотальник,хлебальник,скворечник,чавкалка,поддувало,пасть,плевательница,хавало,ротик,хавальник,клюв,помойка,зев,плевало,хлебало
рыло;пятачок,рыло
темя;макушка,темя,маковка
теменной;теменной,макушечный
уши;лопухи,уши,локаторы
челюсть;чавка,челюсть
щеки;ланиты,щеки
щечный;щечный,ланитный
анальное отверстие;анальное отверстие,задний проход,очко,анус
влагалище;кунька,влагалище,трахалка,пиписька,сика,лохматка,сношалка,пися,писька,дырка,вагина,щелка,лоханка,сикалка,пипися,давалка,щель,передок
влагалищный;вагинальный,влагалищный
внутренности;печенки,нутрянка,нутро,требушина,кишки,внутренности,потроха,требуха
гениталии;гениталии,причиндалы,срам,хозяйство,стыд
горло;глотка,горло
грудь и груди;буфера,грудь и груди,перси,сиськи,бюст,титьки,батоны,тити,сиси
живот;утроба,чрево,арбуз,пузо,барабан,живот,брюхо,черево,мамона
животик;брюшко,утробушка,животик,пузень,пузеня,пузцо,пузико
загривок;холка,загривок,зашеина,шея,зашеек
зад;хезальник,попка,хезник,хезка,зад,корма,бампер,хезалка,хезало,седалище,батоны,усест,срака,жопа,сиделка,гузно,булки,сиденье,пердалище,пердак,попа,задница,гудок,ягодицы,пердач,сральник,пукалка,пердильник
задик;жопка,ягодички,задик,попочка,гузка
мышца;мышца,мускул
мышечный;мускульный,мышечный
плечи;рамена,плечи
позвоночник;позвоночник,хребет,хребтина
позвоночный;позвоночный,хребтовый
половой член;член,торчок,аппарат,дрочило,сосиска,хвост,градусник,шняга,болт,пипка,пенис,палка,друг,инструмент,женилка,дружок,елда,хер,уд,агрегат,ствол,курок,шланг,конец,шишка,торчун,огурец,петушок,фаллос,трахалка,банан,перец,пиписька,щекотун,половой член,хрен,овощ,затейник,прибор,морковка,елдак,шишак,пися,писька,штырь,сикалка,сарделька
сердце;мотор,машина,сердце
скелет;скелет,костяк,остов
талия;перехват,талия,пояс,стан
тело;плоть,телеса,тело
туловище;торс,корпус,тулово,туловище,тело,стан
шея;выя,шея
яички;яички,семенники,мудя,кокосы,яблоки,помидоры,висюльки,шарики,мотня,яблочки,муди,шары,шулята,яйца
бедро;стегно,ляжка,бедро
бедра;чресла,бедра
голень;голень,голяшка
горсть;горсть,пригоршня,горстка,горсточка
конечности;пакли,ветки,конечности,лапы,члены,ноги
ладонь;длань,ладошка,ладонь,ладоша
лодыжка;щиколка,лодыжка,щиколотка
лодыжечный;лодыжный,щиколоточный,лодыжечный
нога;оглобли,костыли,лыжи,ходули,копыта,нога,ласты,лапа,педали
ножка;лапка,ножка
палец;сосиска,палец,перст
пятка;пятка,пята
рука;десница,грабки,пятерня,кардан,культя,шуйца,кисть,клешня,цапка,хваталка,цапалка,рука,длань,пясть,хапалка,культяпка,щупальце,лапа,грабли,давалка,краб
ручка;лапка,ручка
стопа;стопа,подошва,след,ступня
щепоть;щепотка,щепоть
бакенбарды;бачки,бакенбарды,бакены,баки
борода;брада,эспаньолка,борода
вихор;чуприна,кок,вихор,чуб,тупей,хохол
волос;мех,волос,шерсть,шуба
волосы;власы,волосья,волосня,грива,хайр,волосянка,растительность,пакли,волосы,вихры,волосенки,копна,шевелюра
волосок;волосинка,волосок,волосик,щетинка
коса;косичка,косица,коса
космы;кудлы,пасмы,космы,патлы,лохмы
ногти;ногти,когти
пробор;раздел,ряд,пробор
прядь;завитушка,локон,пейс,прядь,завиток
пук;пучок,клок,пук
рога;рога,панты
близорукость;близорукость,подслеповатость
близорукий;близорукий,слепошарый,подслеповатый,подслепый
вырождение;вырождение,дегенерация
вырожденец;дегенерат,вырожденец
вырожденческий;вырожденческий,дегенеративный
вырождаться;выродиться,дегенерировать,вырождаться
глухота;глухота,тугоухость
глухой;глуховатый,тугоухий,глухой
горбун;горбач,горбун
калека;обрубок,увечный,убогий,калека,инвалид
инвалидность;нетрудоспособность,калечество,инвалидность
калечиться;увечиться,уродоваться,калечиться,изувечиться,изуродоваться
карлик;карло,пигмей,карлик,лилипут
карлица;лилипутка,карлица
кастрация;оскопление,холощение,кастрация
кастрат;кастрат,евнух,скопец
кастрированный;холощеный,выхолощенный,холостой,кастрированный
кастрировать;кастрировать,выкладывать,выхолостить,скопить,холостить,выхолащивать,охолостить,оскоплять,выложить,облегчить,облегчать,оскопить,охолащивать
кастрироваться;охолащиваться,кастрироваться,скопиться,оскопляться,оскопиться
косоглазие;косоглазие,косина,косинка
косой;косящий,косоглазый,раскосый,косой
культя;культя,культяпка,култышка
куцый;бесхвостый,куцый,куцехвостый
немота;немота,бессловесность,немость,безъязыкость
немой;немой,немтырь
немой1;безгласный,безъязыкий,бессловесный,онемелый,безъязычный,немой
одноглазый;кривой,одноглазый,кривоглазый
окриветь;окриветь,окосеть
отсталый;малоразвитый,неразвитый,отсталый,недоразвитый
слепец;незрячий,слепой,слепец
слепой;невидящий,незрячий,слепой
хромота;прихрамывание,хромота
хромой;хромец,хромуша,хромой,хромоножка
хромой1;хромой,хромоногий,колченогий
хромать;ковылять,хромать,припадать,шкандыбать,костылять,прихрамывать
великан;исполин,гигант,богатырь,гренадер,великан
верзила;орясина,верзила,верста,жердь,дылда,каланча
внешность;наружность,видок,внешность,видуха,обличье,вид,облик
высокий;высокорослый,длинный,долговязый,высокий,высоченный,великорослый,рослый
коротышка;коротышка,малыш,недоросток,маломерок,коротыш,крохотуля
коротышка1;фитюлька,маломерка,коротышка,пигалица,невеличка,крохотуля
крепость;кряжистость,приземистость,крепость
здоровяк;крепыш,кряж,здоровила,здоровяга,здоровяк
крепкий;здоровенный,коренастый,здоровый,кряжистый,ядреный,крепкий,жилистый,крепкотелый,приземистый
мускулистый;накачанный,мускулистый
низкий;низкий,маленький,малорослый,невысокий,короткий,приземистый,низкорослый
осанка;выправка,осанка
отечный;одутловатый,отечный,оплывший
сила;сила,мощь
силач;силач,геркулес,амбал
сильный;мощный,здоровенный,сильный,здоровый,могучий,здоровущий,дюжий
слабость;немощность,астения,расслабление,расслабленность,бессилие,слабость,слабосилие
